,accuracy,condition,child,target_word,age,Unnamed: 0,Target,Near Distractor,Random 1,Random 2,aoa,response,response_type
0,1,bw,1,comb,6.854794521,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
1,1,bw,2,comb,6.82739726,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
2,1,bw,3,comb,7.150684932,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
3,1,bw,4,comb,6.852054795,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
4,1,bw,5,comb,7.24109589,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
5,0,bw,6,comb,4.235616438,0,comb,brush,watch,bracelet,22.44276300486351,watch,Random
6,0,bw,7,comb,3.117808219,0,comb,brush,watch,bracelet,22.44276300486351,bracelet,Random
7,1,bw,8,comb,5.854794521,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
8,1,bw,9,comb,4.268493151,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
9,1,bw,10,comb,5.106849315,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
10,1,bw,11,comb,5.109589041,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
11,1,bw,12,comb,5.276712329,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
12,1,bw,13,comb,5.630136986,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
13,1,bw,14,comb,5.178082192,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
14,1,bw,15,comb,5.969863014,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
15,1,bw,16,comb,5.452054795,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
16,1,bw,17,comb,5.252054795,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
17,1,bw,18,comb,5.21369863,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
18,1,bw,19,comb,5.778082192,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
19,1,bw,20,comb,5.117808219,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
20,1,bw,21,comb,5.361643836,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
21,1,bw,22,comb,5.287671233,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
22,1,bw,23,comb,5.060273973,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
23,1,bw,24,comb,5.657534247,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
24,1,bw,25,comb,5.97260274,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
25,1,bw,26,comb,5.676712329,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
26,1,bw,27,comb,5.531506849,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
27,1,bw,28,comb,5.64109589,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
28,1,bw,29,comb,3.994520548,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
29,0,bw,30,comb,5.6,0,comb,brush,watch,bracelet,22.44276300486351,watch,Random
30,1,bw,31,comb,5.591780822,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
31,1,bw,32,comb,5.115068493,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
32,0,obj,33,comb,4.682191781,0,comb,brush,watch,bracelet,22.44276300486351,watch,Random
33,1,obj,34,comb,5.246575342,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
34,1,obj,35,comb,3.983561644,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
35,1,obj,36,comb,4.775342466,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
36,1,obj,37,comb,4.279452055,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
37,1,obj,38,comb,4.208219178,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
38,1,obj,39,comb,4.263013699,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
39,1,obj,40,comb,4.78630137,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
40,0,obj,41,comb,3.978082192,0,comb,brush,watch,bracelet,22.44276300486351,watch,Random
41,0,obj,42,comb,4.391780822,0,comb,brush,watch,bracelet,22.44276300486351,watch,Random
42,0,obj,43,comb,4.391780822,0,comb,brush,watch,bracelet,22.44276300486351,watch,Random
43,1,obj,44,comb,4.835616438,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
44,1,obj,45,comb,4.043835616,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
45,1,obj,46,comb,4.797260274,0,comb,brush,watch,bracelet,22.44276300486351,comb,Target
