accuracy,condition,child,target_word,age,pic_interact,play,talk,toy_num,pic_num,maternal_ed,super_condition,draw_num,poster_num,tv_num,condition_label
1,obj,1,ball,6.854794521,3,3,4,3,5,3,obj,0,1,1,Object
1,obj,2,ball,6.82739726,2,4,4,3,2,1,obj,3,2,0,Object
1,obj,3,ball,7.150684932,2,3,5,3,2,1,obj,3,4,1,Object
1,obj,4,ball,6.852054795,4,3,4,2,1,3,obj,1,2,0,Object
1,obj,5,ball,7.24109589,4,3,5,2,5,5,obj,5,5,1,Object
1,obj,6,ball,4.235616438,2,5,5,3,5,5,obj,5,5,1,Object
1,obj,7,ball,3.117808219,4,3,3,1,2,3,obj,3,3,0,Object
1,obj,8,ball,5.854794521,3,2,5,0,0,5,obj,3,1,1,Object
1,obj,9,ball,4.268493151,3,3,4,3,1,5,obj,3,2,1,Object
1,obj,10,ball,5.106849315,3,4,5,4,6,6,obj,8,3,2,Object
0,obj,11,ball,5.109589041,4,2,5,1,1,1,obj,14,0,0,Object
1,obj,12,ball,5.276712329,4,5,2,3,0,1,obj,5,3,1,Object
1,obj,13,ball,5.630136986,4,2,5,3,3,3,obj,4,2,1,Object
1,obj,14,ball,5.178082192,4,5,4,0,1,1,obj,2,2,1,Object
1,obj,15,ball,5.969863014,5,5,4,2,3,3,obj,3,3,1,Object
1,obj,16,ball,5.452054795,2,5,4,0,1,1,obj,1,1,0,Object
1,obj,17,ball,5.252054795,3,4,5,4,3,6,obj,5,6,1,Object
1,obj,18,ball,5.21369863,3,4,4,30,4,1,obj,5,3,1,Object
1,obj,19,ball,5.778082192,3,4,5,2,0,1,obj,14,2,1,Object
1,obj,20,ball,5.117808219,4,4,4,6,3,6,obj,48,5,1,Object
1,obj,21,ball,5.361643836,5,4,4,20,10,1,obj,12,4,1,Object
0,obj,22,ball,5.287671233,4,4,4,4,1,1,obj,5,6,1,Object
1,obj,23,ball,5.060273973,4,4,4,3,1,1,obj,4,6,1,Object
1,obj,24,ball,5.657534247,5,4,5,7,1,5,obj,4,2,1,Object
1,obj,25,ball,5.97260274,3,4,4,8,5,5,obj,20,7,1,Object
1,obj,26,ball,5.676712329,2,5,4,0,2,1,obj,3,1,0,Object
1,obj,27,ball,5.531506849,3,3,4,3,2,1,obj,6,3,0,Object
1,obj,28,ball,5.64109589,4,4,4,4,6,1,obj,12,4,1,Object
1,obj,29,ball,3.994520548,3,4,4,15,4,6,obj,6,2,1,Object
1,obj,30,ball,5.6,3,2,5,0,2,1,obj,2,1,1,Object
1,obj,31,ball,5.591780822,5,5,4,0,1,5,obj,2,2,1,Object
1,obj,32,ball,5.115068493,4,4,4,3,5,1,obj,12,3,1,Object
1,photo,33,ball,4.682191781,2,4,4,2,1,5,pic,8,0,1,Photo
1,photo,34,ball,5.246575342,3,4,5,0,5,1,pic,12,2,1,Photo
1,photo,35,ball,3.983561644,4,3,2,2,5,1,pic,5,2,1,Photo
1,photo,36,ball,4.775342466,5,4,4,30,3,1,pic,3,3,1,Photo
1,photo,37,ball,4.279452055,4,2,4,4,3,4,pic,3,2,0,Photo
1,photo,38,ball,4.208219178,5,4,5,4,8,1,pic,16,4,2,Photo
1,photo,39,ball,4.263013699,4,2,5,1,3,3,pic,13,1,1,Photo
1,photo,40,ball,4.78630137,4,4,3,1,3,3,pic,2,2,1,Photo
1,photo,41,ball,3.978082192,5,5,5,3,2,5,pic,6,5,1,Photo
1,photo,42,ball,4.391780822,2,5,5,5,2,3,pic,12,1,1,Photo
1,photo,43,ball,4.391780822,5,5,5,2,3,3,pic,4,2,1,Photo
1,photo,44,ball,4.835616438,3,3,3,3,2,1,pic,12,2,1,Photo
1,photo,45,ball,4.043835616,4,4,4,6,1,3,pic,3,2,1,Photo
1,photo,46,ball,4.797260274,4,5,5,10,4,1,pic,8,0,1,Photo
1,photo,47,ball,4.153424658,2,2,5,3,1,1,pic,2,1,1,Photo
1,photo,48,ball,4.454794521,3,4,5,16,4,5,pic,28,3,0,Photo
1,photo,49,ball,4.610958904,4,4,5,16,4,1,pic,16,3,0,Photo
1,photo,50,ball,4.024657534,4,4,4,2,0,5,pic,10,4,1,Photo
1,photo,51,ball,4.994520548,4,5,5,20,8,3,pic,13,7,3,Photo
1,photo,52,ball,4.44109589,4,2,4,6,5,5,pic,20,4,1,Photo
1,photo,53,ball,4.290410959,5,5,3,0,2,3,pic,2,0,1,Photo
1,photo,54,ball,7.673972603,4,4,3,5,2,5,pic,10,2,1,Photo
1,photo,55,ball,7.928767123,1,1,4,0,0,3,pic,1,0,1,Photo
1,photo,56,ball,7.98,1,4,4,4,2,5,pic,4,2,2,Photo
1,photo,57,ball,7.926027397,5,5,3,8,3,5,pic,4,5,1,Photo
1,photo,58,ball,7.99,4,2,5,3,4,5,pic,6,4,1,Photo
1,photo,59,ball,6.101369863,2,3,5,10,3,3,pic,4,3,1,Photo
1,photo,60,ball,6.430136986,4,5,5,12,6,1,pic,7,2,1,Photo
1,photo,61,ball,6.575342466,2,4,4,2,2,3,pic,13,0,1,Photo
1,photo,62,ball,5.871232877,2,2,4,3,2,5,pic,5,4,1,Photo
1,photo,63,ball,7.717808219,5,5,4,20,2,3,pic,10,5,1,Photo
1,photo,64,ball,7.728767123,2,2,5,7,6,1,pic,15,5,1,Photo
1,cartoon,65,ball,7.873972603,4,4,4,10,4,1,pic,8,2,0,Cartoon
1,cartoon,66,ball,7.350684932,4,5,4,4,2,5,pic,6,2,1,Cartoon
1,cartoon,67,ball,6.928767123,2,2,4,5,3,5,pic,15,0,1,Cartoon
1,cartoon,68,ball,7.504109589,4,3,4,5,5,6,pic,20,3,1,Cartoon
1,cartoon,69,ball,7.479452055,2,3,4,4,5,1,pic,24,5,1,Cartoon
