,child,condition,age,target_word,accuracy,response_type,is_near_distractor,is_random
759,53,black_white,4.290410959,button,0,Random,0,1
761,55,black_white,7.928767123,button,0,Random,0,1
763,57,black_white,7.926027397,button,0,Near Distractor,1,0
764,58,black_white,7.99,button,0,Random,0,1
765,59,black_white,6.101369863,button,0,Random,0,1
767,61,black_white,6.575342466,button,0,Random,0,1
769,63,black_white,7.717808219,button,0,Random,0,1
770,64,black_white,7.728767123,button,0,Random,0,1
777,71,object,5.287671233,button,0,Near Distractor,1,0
781,75,object,7.476712329,button,0,Near Distractor,1,0
782,76,object,6.873972603,button,0,Near Distractor,1,0
783,77,object,7.531506849,button,0,Random,0,1
784,78,object,7.115068493,button,0,Random,0,1
785,79,object,3.846575342,button,0,Random,0,1
786,80,object,4.057534247,button,0,Near Distractor,1,0
787,81,object,3.6,button,0,Near Distractor,1,0
790,84,object,3.01369863,button,0,Near Distractor,1,0
792,86,object,3.326027397,button,0,Near Distractor,1,0
793,87,object,3.265753425,button,0,Near Distractor,1,0
794,88,object,3.871232877,button,0,Random,0,1
795,89,object,3.150684932,button,0,Near Distractor,1,0
796,90,object,3.063013699,button,0,Random,0,1
797,91,object,3.495890411,button,0,Near Distractor,1,0
798,92,object,3.142465753,button,0,Random,0,1
799,93,object,3.77260274,button,0,Near Distractor,1,0
800,94,object,3.443835616,button,0,Random,0,1
801,95,object,3.547945205,button,0,Near Distractor,1,0
802,96,object,4.82739726,button,0,Random,0,1
803,97,photo,4.517808219,button,0,Near Distractor,1,0
804,98,photo,3.901369863,button,0,Random,0,1
805,99,photo,4.783561644,button,0,Near Distractor,1,0
806,100,photo,4.950684932,button,0,Random,0,1
807,101,photo,3.134246575,button,0,Random,0,1
818,11,photo,5.109589041,book,0,Near Distractor,1,0
819,12,photo,5.276712329,book,0,Near Distractor,1,0
825,18,photo,5.21369863,book,0,Near Distractor,1,0
829,22,photo,5.287671233,book,0,Near Distractor,1,0
849,42,cartoon,4.391780822,book,0,Near Distractor,1,0
854,47,cartoon,4.153424658,book,0,Near Distractor,1,0
855,48,cartoon,4.454794521,book,0,Near Distractor,1,0
856,49,cartoon,4.610958904,book,0,Near Distractor,1,0
858,51,cartoon,4.994520548,book,0,Near Distractor,1,0
860,53,cartoon,4.290410959,book,0,Near Distractor,1,0
866,59,cartoon,6.101369863,book,0,Near Distractor,1,0
874,67,black_white,6.928767123,book,0,Near Distractor,1,0
876,69,black_white,7.479452055,book,0,Near Distractor,1,0
878,71,black_white,5.287671233,book,0,Near Distractor,1,0
882,75,black_white,7.476712329,book,0,Near Distractor,1,0
883,76,black_white,6.873972603,book,0,Near Distractor,1,0
885,78,black_white,7.115068493,book,0,Near Distractor,1,0
886,79,black_white,3.846575342,book,0,Near Distractor,1,0
887,80,black_white,4.057534247,book,0,Random,0,1
888,81,black_white,3.6,book,0,Near Distractor,1,0
889,82,black_white,6.602739726,book,0,Near Distractor,1,0
890,83,black_white,5.249315068,book,0,Near Distractor,1,0
893,86,black_white,3.326027397,book,0,Near Distractor,1,0
895,88,black_white,3.871232877,book,0,Near Distractor,1,0
897,90,black_white,3.063013699,book,0,Random,0,1
898,91,black_white,3.495890411,book,0,Near Distractor,1,0
900,93,black_white,3.77260274,book,0,Random,0,1
